2026-03-13 12:45:36 | ERROR    | __main__:main:272 - Error during demo: attempted relative import with no known parent package
2026-03-13 14:58:09 | ERROR    | __main__:main:367 - Demo failed: Gene.__init__() missing 1 required positional argument: 'value'
2026-03-13 14:58:09 | ERROR    | __main__:main:367 - Demo failed: Gene.__init__() missing 1 required positional argument: 'value'
2026-03-13 14:58:09 | ERROR    | __main__:main:367 - Demo failed: Gene.__init__() missing 1 required positional argument: 'value'
2026-03-13 14:58:09 | ERROR    | __main__:main:367 - Demo failed: Gene.__init__() missing 1 required positional argument: 'value'
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Cycle Coordinator failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Evolutionary Decisions failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Cycle Integration failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Task Management failed: TaskManagementEngine.create_task() got multiple values for argument 'task_type'
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Performance Analysis failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-03-13 15:00:20 | ERROR    | __main__:main:298 - Test Concurrent Execution failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-03-13 15:00:31 | ERROR    | __main__:main:298 - Test Evolutionary Decisions failed: float division by zero
2026-03-13 15:00:31 | ERROR    | __main__:main:298 - Test Cycle Integration failed: Unknown format code '%' for object of type 'str'
2026-03-13 15:00:31 | ERROR    | __main__:main:298 - Test Task Management failed: TaskManagementEngine.create_task() got multiple values for argument 'task_type'
